@@23953477	in-need	in	The ones in need of constant medical care are kept admitted in the military hospitals and occasionally sent on sick leave with attendants so that they can spend time with their families .	0
@@4703096	immigrant	jm	NBC and Spanish-language Univision both declined to air the show following the business mogul 's controversial comments on Mexican immigrants , leading to a breakdown in their relationship .	0
@@25567226	in-need	hk	A second T-Home project is being launched in the third quarter . That one will allow property owners of subsidized housing with unpaid premiums to sublet flats to families in need .	0
@@1824078	poor-families	tz	Camfed would like to see this trend reversed . It would like to see more girls in school . Basic Education Statistics in Tanzania ( BEST 2010 ) show that only 18 percent of girls have completed secondary school education . This is why Camfed supports girls from poor families to obtain secondary education and its efforts have seen many go to university .	4
@@1921089	refugee	tz	Kagunga village was reported to lack necessary social services to meet the growing demand of refugees . The village has neither reliable , clean and safe water nor sanitation facilities that include latrines and critical medical services .	0
@@40039380	women	ng	Haruna stressed the need for specific approaches in addressing the challenges related to women 's access to information on the Internet as well as knowing Internet policies of the country .	0
@@9419118	refugee	ke	An aid convoy scheduled to leave London this week to the main refugee camp in Calais has been stopped by French authorities who have cited security concerns .	0
@@26308874	homeless	pk	Federal Government figures also revealed in the last financial year , more than 41,000 people across Queensland were assisted by a specialist homeless service .	0
@@1552163	poor-families	in	The treatment used to be free of charge , but as there has been an increase in demand , the park is now charging each family 2,000 yuan per month , and a lesser amount for poor families .	0
@@8395654	homeless	za	To live on the streets is a completely different world to what I was used to . One has to grow up fast and be street wise . But I think the worst for me was how it became the homeless against the " rest " of society . We are almost public enemy No 1 .	0
@@20079912	immigrant	nz	Holyrood belongs to the New Sanctuary Coalition of NYC , an interfaith network that helps immigrants .	0
@@13717053	migrant	ph	He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .	0
@@896186	immigrant	in	The extremes include unreconstructed Communists who never broke with Moscow , the neo-Nazi Golden Dawn that wants to mine the Turkish border again to keep immigrants out , and the misleadingly named Greek Ecologists , who are pro-nudism .	0
@@25824408	hopeless	sg	Nineveh 's farmers say for them time is running out . In interviews , a dozen farmers and grain traders said government wheat production forecasts for 2018 were hopelessly optimistic . Some farmers said they were considering leaving the land . Others have joined local militias to get a regular wage .	0
@@8143017	in-need	my	" In keeping with the significance of the ILC since its inception 45 years ago , the representatives reiterated their continuing commitment to open and constructive dialogue as a model for interreligious and intercultural understanding in the world , most especially with religious leaders of the Muslim community . They also reiterated the commitment to collaborate in addressing the emerging needs of their communities wherever they may be , and to convey their transcendent messages to a world so much in need of authentic and caring affirmation represented by their two religious traditions . " --Asia News	1
@@1447846	in-need	gb	" We can bring about the change Britain needs . "	0
@@9026021	disabled	pk	During his visit , the COAS was given a detailed briefing on the pilot project of state-of-the-art Visual Rehabilitation Center for visually-disabled soldiers , which includes a computer lab , Braille , and vocational and recreational facilities .	0
@@4521109	homeless	jm	Bond went out of his way to help the less fortunate , often going on the road with Kim to take food to the homeless .	4
@@10325787	migrant	ph	A haunting image of migrants passing a baby underneath a razor-wire fence on the Serbian-Hungarian border won the prestigious World Press Photo award for 2015 on Thursday , February 18 , even though it had never been published .	0
@@4609065	women	bd	" The strictest legal measures will be taken to stop the oppression of women " was a key plank of the party 's manifesto for the last parliamentary polls . The government during its tenure , however , has taken " no strict measure " except enacting a few laws and establishing some offices for combating violence against women .	0
@@3221507	migrant	hk	After this , the labour movement in Singapore was incorporated under the state 's control . The National Trades Union Congress ( NTUC ) was founded in 1961 to oppose the left-wing SATU . Since 1980 , the main NTUC leader has always been a member of government . At present , the NTUC is no more than a puppet of the state and the steadily declining union memberships since the late 1970s illustrates its complete ineffectiveness and its bias against workers . Also , cheap migrant workers from Malaysia , Thailand , Indonesia , Sri Lanka , Philippines and other countries , make up more than 30 percent of the total workforce and face a variety of discrimination .	0
@@3275731	women	lk	We have just started this programme and we also intend to make proposals to the IGP to strengthen the women 's and children 's bureau and to set up a separate children 's division in the police .	0
@@4514941	women	pk	Comparing Pakistan to France , Spain or Norway where the parliament made it mandatory for women to occupy 40 per cent of board seats of all listed companies may be too much to ask for . But for a country that comprises a fair percentage of talented women in the corporate sector , gender diversity is all but absent in corporate boards .	0
@@24459215	immigrant	nz	Statistics New Zealand yesterday identified a problem the Government may need to solve if it wants to grow the local workforce without the need for immigrant labour .	0
@@22217034	poor-families	ng	The women , often from poor families , are now demanding compensation to cover costs of raising their babies , according to The Washington Times .	0
@@934902	in-need	gb	" I will work hard to ensure that crime levels in our area continue to stay low , that our investigations are thorough and that we help to look after and protect those in need .	1
@@15180584	vulnerable	ph	" Our temporary status makes us vulnerable to exploitation and in most cases , we are left with no choice but to be exploited because Canada 's current immigration laws was designed to allow these evil things to happen to migrant workers , " it said .	0
@@8722138	disabled	ca	Prince Harry opens Invictus games for military disabled	0
@@17192691	women	ke	The five women included in the set are :	0
@@4694927	hopeless	pk	Worse than this feeling of dread was a feeling of hopelessness , that nothing could be done as Pakistan 's condition was beyond cure . Politicians who mattered had turned into appeasers , outdoing Chamberlain , finding excuses for the Pakistani Taliban ... and after every terrorist outrage offering smooth phrases and extending more olive branches , to the point where the olive forests stood denuded .	0
@@19445577	vulnerable	hk	Being part of a wider movement on protecting the human rights of vulnerable people and advocating for more effective responses from governments and other regulatory agencies	0
@@416767	hopeless	ca	TREVOR HAGAN/WINNIPEG FREE PRESS John Donovan , northern region director of the Addictions Foundation of Manitoba : ? Many of them are feeling pretty hopeless. ?	3
@@14600178	women	za	With numbers of Nigerians rising in Sicily , prostitution is a thriving business , campaigners say , though nobody knows exactly how many women end up plying their trade on the streets .	0
@@16569964	poor-families	gh	Xi made the remarks during a tour of the city of Zhangjiakou in northern China 's Hebei Province , where he inspected an impoverished village , visiting and chatting with poor families , discussing how they could shake off poverty .	4
@@20707863	disabled	za	Malgas says ? " Ncapayi needs a place where the toilet is inside ; not like here . The toilet is outside and is not made for someone who is disabled . He struggles to even use it and you find that he wets himself ... I am not always here to help him because I also have to go look for job . "	0
@@23342172	vulnerable	za	The Stormers appeared vulnerable under the high ball against the Argentine side which prompted Fleck to make changes .	0
@@4562230	disabled	pk	The increasing numbers of disabled in Pakistan are demanding reasonably good quality of life .	0
@@14370354	migrant	ng	At the same time , almost 150 reception centres have been built nationwide and teams of social workers deployed to the Jungle and other improvised camps including in the capital Paris to persuade migrants to file asylum requests .	0
@@26219614	migrant	sg	By Wednesday , law-enforcement officials claimed Rivera was an undocumented immigrant living in the US illegally , and that he 'd somehow passed the government 's E-Verify system as an eligible worker -- allegedly because he used stolen identification , The Washington Post reported one law-enforcement official as saying .	0
@@60059920	women	ie	2 women &amp; 2 young children are led away by a group of soldiers . They are blindfolded , forced to the ground , and shot 22 times . #BBCAfricaEye investigated this atrocity . This is what we found ... **26;2869;TOOLONG	0
@@20809011	vulnerable	in	" Though local people in these vulnerable seaside pockets widely believe that a ritual of this sort would save them from scourge of the sea , they said no to the practice this time . They deserve appreciation for giving up the cruel ritual , " said Kendrapara Collector , Reghu G.	0
@@20008540	immigrant	ca	The report also highlighted the difficulty for detained immigrants to access legal representation , unreasonably long incarceration -- including of children -- and the separation of family members during detention .	0
@@14366209	migrant	my	According to The Star , senior lawyer Datuk Seri Jaha ? berdeen Mohamed Yunoos said Section 56(1) was not related to asset seizures , while only Section 44 of the Immigration Act allows for detention of vessels or aircraft believed to have been used to carry illegal immigrants .	0
@@16560442	immigrant	sg	The result has been a full display of Trump 's propensity for exaggeration and more . During an appearance at the CIA Saturday , he wrongly said the inaugural crowds gathered on the National Mall stretched to the Washington Monument , despite clear photo evidence to the contrary . And during a reception with lawmakers from both parties Monday night , he repeated his false assertion that millions of illegal immigrants provided Hillary Clinton 's margin in the popular vote .	0
@@23269754	migrant	au	Kids of migrants and Indigenous people have a right to speak , grow up with , and celebrate their own heritage languages . On International Mother Language Day , let 's celebrate that right and the benefits it brings to us all .	1
@@23413758	women	gh	While the President has had occasions to receive praise for his oratory , some market women remain unimpressed .	0
@@4675022	homeless	my	" A vagrant even told me that he did not want to return to the streets ever again because of my movie . I mean , how much money can you pay to get a homeless person back on the right track ? "	4
@@1923263	homeless	gh	The residents who have been rendered homeless say they must be compensated .	0
@@16048037	immigrant	za	This incident illustrated yet again how our racial discourse is spiralling off into some truly irrational places . One moment South Africans were being told that an African immigrant using race as a descriptor for an innocuous purpose was ineffably " racist " ; the next that it was completely unacceptable to question government 's use of systematic race classification , " for how else are numeri clausi meant to be enforced ! ! ! ? "	0
@@2568267	poor-families	ie	The thugs target poor families with a money-lending racket , take control of their welfare benefits , and have left some parents so broke that their children were taken into care .	0
@@1810825	poor-families	ng	Proffering solutions to the scourge , government was tasked to scale up existing conditional cash transfer to alleviate poverty in families linked to their enrolling children in schools ; revive the school feeding programme or institute commodity voucher scheme for extremely poor families , enhance tax relief for low income earners , and adoption of child-friendly school initiatives must be undertaken .	0
@@15420240	vulnerable	lk	For many years I have been writing and speaking about the danger of the rise of an honest and charismatic ideologue in the United States , someone who could exploit the fear and anger that has long been boiling in much of the society , and who could direct it away from the actual agents of malaise to vulnerable targets . That could indeed lead to what sociologist Bertram Gross called " friendly fascism " in a perceptive study 35 years ago . But that requires an honest ideologue , a Hitler type , not someone whose only detectable ideology is Me . The dangers however have been real for many years , perhaps even more so in the light of the forces that Trump has unleashed .	0
@@19065409	poor-families	jm	Watching poor families in England writhe in pain over this deep wound , we , as residents of this former slave plantation island , can commiserate with their distress .	4
@@20876974	women	ie	After criticism of the range for featuring women living a life of leisure , Lego released three female scientists in its Research Institute range .	0
@@1886875	refugee	tz	The report examines the laws , policies and practices pertaining to refugee work rights in 15 countries around the globe , affecting a total of 30 per cent of the world 's refugee population . The findings reveal that almost half of the 15 countries examined have a complete legal bar to refugee employment .	0
@@26202642	refugee	jm	Palij , whose full name is pronounced Yah-keev PAH ' -lee , entered the U.S. in 1949 under the Displaced Persons Act , a law meant to help refugees from post-war Europe .	0
@@346580	refugee	ca	He was also named a named a youth ambassador by the UN 's Relief and Works Agency , which serves Palestinian refugees across the Middle East . The agency runs the Khan Younis refugee camp in Gaza , where Assaf has lived since the age of 4 .	0
@@13627740	migrant	us	Some of the complaints in Breivik 's 1,500-page manifesto ( which was written in English ) are troublingly similar to those raised by Trump and his most extreme supporters . Breivik ranted and raged about political correctness , feminism , multiculturalism , the news media , and especially , Muslim immigrants .	0
@@4564061	in-need	jm	Tourism Minister Dr Wykeham McNeill agreed that the facility is in need of upgrading , even as he argued that both administrations have made attempts to divest it .	0
@@136460	vulnerable	gb	Anglo American , weakened by project delays and escalating costs , is seen by many as vulnerable to a takeover by what will be the world 's fourth largest mining group .	0
@@15139583	poor-families	ie	On the morning of September 22nd 1884 the HMS Wasp was sent on the less than savoury task of ferrying police and bailiffs to the small island of Inishtrahull to evict three poor families . But the ship would never reach its destination and was dashed on the rocks below Tory lighthouse . The truth of what exactly happened still remains a mystery . Was this just a tragic accident or were there dark forces at work ?	0
@@4577684	women	bd	On January 25 , when Narail-2 ruling party Member of Parliament ( MP ) SK Abu Baker came to Narail crossing Kalna ferry ghat , several hundred villagers including women besieged his jeep , protesting the tree theft . The villagers chanted slogan demanding punishment of Alauddin Munshi and his accomplices who felled the trees .	0
